t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-15.0,0.0,0,0,0,1
-14.9,0.0,0,0,0,1
-14.8,0.0,0,0,0,1
-14.700000000000001,0.0,0,0,0,1
-14.600000000000001,0.0,0,0,0,1
-14.500000000000002,0.0,0,0,0,1
-14.400000000000002,0.0,0,0,0,1
-14.300000000000002,0.0,0,0,0,1
-14.200000000000003,0.0,0,0,0,1
-14.100000000000003,0.0,0,0,0,1
-14.000000000000004,0.0,0,0,0,1
-13.900000000000004,0.0,0,0,0,1
-13.800000000000004,0.0,0,0,0,1
-13.700000000000005,0.0,0,0,0,1
-13.600000000000005,0.0,0,0,0,1
-13.500000000000005,0.0,0,0,0,1
-13.400000000000006,0.0,0,0,0,1
-13.300000000000006,0.0,0,0,0,1
-13.200000000000006,0.0,0,0,0,1
-13.100000000000007,0.0,0,0,0,1
-13.000000000000007,0.0,0,0,0,1
-12.900000000000007,0.0,0,0,0,1
-12.800000000000008,0.0,0,0,0,1
-12.700000000000008,0.0,0,0,0,1
-12.600000000000009,0.0,0,0,0,1
-12.500000000000009,0.0,0,0,0,1
-12.40000000000001,0.0,0,0,0,1
-12.30000000000001,0.0,0,0,0,1
-12.20000000000001,0.0,0,0,0,1
-12.10000000000001,0.0,0,0,0,1
-12.00000000000001,0.0,0,0,0,1
-11.900000000000011,0.0,0,0,0,1
-11.800000000000011,0.0,0,0,0,1
-11.700000000000012,0.0,0,0,0,1
-11.600000000000012,0.0,0,0,0,1
-11.500000000000012,0.0,0,0,0,1
-11.400000000000013,0.0,0,0,0,1
-11.300000000000013,0.0,0,0,0,1
-11.200000000000014,0.0,0,0,0,1
-11.100000000000014,0.0,0,0,0,1
-11.000000000000014,0.0,0,0,0,1
-10.900000000000015,0.0,0,0,0,1
-10.800000000000015,0.0,0,0,0,1
-10.700000000000015,0.0,0,0,0,1
-10.600000000000016,0.0,0,0,0,1
-10.500000000000016,0.0,0,0,0,1
-10.400000000000016,0.0,0,0,0,1
-10.300000000000017,0.0,0,0,0,1
-10.200000000000017,0.0,0,0,0,1
-10.100000000000017,0.0,0,0,0,1
-10.000000000000018,0.0,0,0,0,1
-9.900000000000018,0.0,0,0,0,1
-9.800000000000018,0.0,0,0,0,1
-9.700000000000019,0.0,0,0,0,1
-9.60000000000002,0.0,0,0,0,1
-9.50000000000002,0.0,0,0,0,1
-9.40000000000002,0.0,0,0,0,1
-9.30000000000002,0.0,0,0,0,1
-9.20000000000002,0.0,0,0,0,1
-9.100000000000021,0.0,0,0,0,1
-9.000000000000021,0.0,0,0,0,1
-8.900000000000022,10.9,0.14999999999995595,8.999999999999957,8.850000000000001,1
-8.800000000000022,10.8,0.2999999999999563,8.999999999999957,8.700000000000001,1
-8.700000000000022,10.700000000000001,0.44999999999995666,8.999999999999957,8.55,1
-8.600000000000023,10.600000000000001,0.5999999999999552,8.999999999999957,8.400000000000002,1
-8.500000000000023,10.5,0.7499999999999538,8.999999999999954,8.25,1
-8.400000000000023,10.4,0.8999999999999524,8.999999999999954,8.100000000000001,1
-8.300000000000024,10.3,1.0499999999999527,8.999999999999954,7.950000000000001,1
-8.200000000000024,10.200000000000001,1.1999999999999522,8.999999999999954,7.800000000000002,1
-8.100000000000025,10.100000000000001,1.3499999999999517,8.999999999999954,7.650000000000002,1
-8.000000000000025,10.0,1.4999999999999503,8.99999999999995,7.5,1
-7.900000000000025,9.9,1.6499999999999497,8.99999999999995,7.3500000000000005,1
-7.800000000000026,9.8,1.7999999999999492,8.99999999999995,7.200000000000001,1
-7.700000000000026,9.700000000000001,1.9499999999999487,8.99999999999995,7.050000000000002,1
-7.600000000000026,9.600000000000001,2.099999999999948,8.99999999999995,6.900000000000002,1
-7.500000000000027,9.5,2.2499999999999467,8.999999999999947,6.75,1
-7.400000000000027,9.4,2.399999999999946,8.999999999999947,6.6000000000000005,1
-7.300000000000027,9.3,2.5499999999999456,8.999999999999947,6.450000000000001,1
-7.200000000000028,9.200000000000001,2.699999999999945,8.999999999999947,6.300000000000002,1
-7.100000000000028,9.1,2.8499999999999437,8.999999999999943,6.1499999999999995,1
-7.000000000000028,9.0,2.999999999999943,8.999999999999943,6.0,1
-6.900000000000029,8.9,3.1499999999999426,8.999999999999943,5.8500000000000005,1
-6.800000000000029,8.8,3.299999999999942,8.999999999999943,5.700000000000001,1
-6.7000000000000295,8.700000000000001,3.4499999999999416,8.999999999999943,5.550000000000002,1
-6.60000000000003,8.6,3.59999999999994,8.99999999999994,5.3999999999999995,1
-6.50000000000003,8.5,3.7499999999999396,8.99999999999994,5.25,1
-6.4000000000000306,8.4,3.899999999999939,8.99999999999994,5.1000000000000005,1
-6.300000000000031,8.3,4.0499999999999385,8.99999999999994,4.950000000000001,1
-6.200000000000031,8.200000000000001,4.199999999999938,8.99999999999994,4.800000000000002,1
-6.100000000000032,8.1,4.349999999999937,8.999999999999936,4.6499999999999995,1
-6.000000000000032,8.0,4.499999999999936,8.999999999999936,4.5,1
-5.900000000000032,7.9,4.6499999999999355,8.999999999999936,4.3500000000000005,1
-5.800000000000033,7.800000000000001,4.799999999999935,8.999999999999936,4.200000000000001,1
-5.700000000000033,7.7,4.949999999999934,8.999999999999934,4.050000000000001,1
-5.600000000000033,7.6000000000000005,5.099999999999934,8.999999999999934,3.900000000000001,1
-5.500000000000034,7.5,5.2499999999999325,8.999999999999932,3.75,1
-5.400000000000034,7.4,5.399999999999932,8.999999999999932,3.6000000000000005,1
-5.3000000000000345,7.300000000000001,5.549999999999931,8.999999999999932,3.450000000000001,1
-5.200000000000035,7.2,5.69999999999993,8.99999999999993,3.3000000000000003,1
-5.100000000000035,7.1000000000000005,5.84999999999993,8.99999999999993,3.150000000000001,1
-5.0000000000000355,7.0,5.999999999999929,8.999999999999929,3.0,1
-4.900000000000036,6.9,6.149999999999928,8.999999999999929,2.8500000000000005,1
-4.800000000000036,6.800000000000001,6.299999999999928,8.999999999999929,2.700000000000001,1
-4.700000000000037,6.7,6.4499999999999265,8.999999999999927,2.5500000000000003,1
