theta,latency,backlog,delay
0.0,12.666666666666666,-1,-1
0.25,12.583333333333334,-1,-1
0.5,12.5,-1,-1
0.75,12.416666666666666,-1,-1
1.0,12.333333333333334,-1,-1
1.25,12.25,-1,-1
1.5,12.166666666666666,-1,-1
1.75,12.083333333333334,-1,-1
2.0,12.0,-1,-1
2.25,11.916666666666666,-1,-1
2.5,11.833333333333334,-1,-1
2.75,11.75,-1,-1
3.0,11.666666666666666,-1,-1
3.25,11.583333333333334,-1,-1
3.5,11.5,-1,-1
3.75,11.416666666666666,-1,-1
4.0,11.333333333333334,-1,-1
4.25,11.25,-1,-1
4.5,11.166666666666666,-1,-1
4.75,11.083333333333334,-1,-1
5.0,11.0,-1,-1
5.25,10.916666666666666,-1,-1
5.5,10.833333333333334,-1,-1
5.75,10.75,-1,-1
6.0,10.5,-1,-1
6.25,10.25,-1,-1
6.5,10.0,-1,-1
6.75,9.75,-1,-1
7.0,9.5,-1,-1
7.25,9.25,-1,-1
7.5,9.0,-1,-1
7.75,9.5,-1,-1
8.0,10.0,-1,-1
8.25,10.5,-1,-1
8.5,11.0,-1,-1
8.75,11.5,-1,-1
9.0,12.0,-1,-1
9.25,12.5,-1,-1
9.5,13.0,-1,-1
9.75,13.5,-1,-1
10.0,14.0,-1,-1
