t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-25.0,0.0,0,0,0,1
-24.9,0.0,0,0,0,1
-24.799999999999997,0.0,0,0,0,1
-24.699999999999996,0.0,0,0,0,1
-24.599999999999994,0.0,0,0,0,1
-24.499999999999993,0.0,0,0,0,1
-24.39999999999999,0.0,0,0,0,1
-24.29999999999999,0.0,0,0,0,1
-24.19999999999999,0.0,0,0,0,1
-24.099999999999987,0.0,0,0,0,1
-23.999999999999986,0.0,0,0,0,1
-23.899999999999984,0.0,0,0,0,1
-23.799999999999983,0.0,0,0,0,1
-23.69999999999998,0.0,0,0,0,1
-23.59999999999998,0.0,0,0,0,1
-23.49999999999998,0.0,0,0,0,1
-23.399999999999977,0.0,0,0,0,1
-23.299999999999976,0.0,0,0,0,1
-23.199999999999974,0.0,0,0,0,1
-23.099999999999973,0.0,0,0,0,1
-22.99999999999997,0.0,0,0,0,1
-22.89999999999997,0.0,0,0,0,1
-22.79999999999997,0.0,0,0,0,1
-22.699999999999967,0.0,0,0,0,1
-22.599999999999966,0.0,0,0,0,1
-22.499999999999964,0.0,0,0,0,1
-22.399999999999963,0.0,0,0,0,1
-22.29999999999996,0.0,0,0,0,1
-22.19999999999996,0.0,0,0,0,1
-22.09999999999996,0.0,0,0,0,1
-21.999999999999957,0.0,0,0,0,1
-21.899999999999956,0.0,0,0,0,1
-21.799999999999955,0.0,0,0,0,1
-21.699999999999953,0.0,0,0,0,1
-21.59999999999995,0.0,0,0,0,1
-21.49999999999995,0.0,0,0,0,1
-21.39999999999995,0.0,0,0,0,1
-21.299999999999947,0.0,0,0,0,1
-21.199999999999946,0.0,0,0,0,1
-21.099999999999945,0.0,0,0,0,1
-20.999999999999943,0.0,0,0,0,1
-20.89999999999994,0.0,0,0,0,1
-20.79999999999994,0.0,0,0,0,1
-20.69999999999994,0.0,0,0,0,1
-20.599999999999937,0.0,0,0,0,1
-20.499999999999936,0.0,0,0,0,1
-20.399999999999935,0.0,0,0,0,1
-20.299999999999933,0.0,0,0,0,1
-20.199999999999932,0.0,0,0,0,1
-20.09999999999993,0.0,0,0,0,1
-19.99999999999993,0.0,0,0,0,1
-19.899999999999928,0.0,0,0,0,1
-19.799999999999926,0.0,0,0,0,1
-19.699999999999925,0.0,0,0,0,1
-19.599999999999923,0.0,0,0,0,1
-19.499999999999922,0.0,0,0,0,1
-19.39999999999992,0.0,0,0,0,1
-19.29999999999992,0.0,0,0,0,1
-19.199999999999918,0.0,0,0,0,1
-19.099999999999916,0.0,0,0,0,1
-18.999999999999915,0.0,0,0,0,1
-18.899999999999913,0.0,0,0,0,1
-18.799999999999912,0.0,0,0,0,1
-18.69999999999991,0.0,0,0,0,1
