t,s,alpha(t+s)-beta(s),alpha(t+s),beta(s),gamma_used
-15.0,-50.0,0,0,0,1
-14.99,-50.0,0,0,0,1
-14.98,-50.0,0,0,0,1
-14.97,-50.0,0,0,0,1
-14.96,-50.0,0,0,0,1
-14.950000000000001,-50.0,0,0,0,1
-14.940000000000001,-50.0,0,0,0,1
-14.930000000000001,-50.0,0,0,0,1
-14.920000000000002,-50.0,0,0,0,1
-14.910000000000002,-50.0,0,0,0,1
-14.900000000000002,-50.0,0,0,0,1
-14.890000000000002,-50.0,0,0,0,1
-14.880000000000003,-50.0,0,0,0,1
-14.870000000000003,-50.0,0,0,0,1
-14.860000000000003,-50.0,0,0,0,1
-14.850000000000003,-50.0,0,0,0,1
-14.840000000000003,-50.0,0,0,0,1
-14.830000000000004,-50.0,0,0,0,1
-14.820000000000004,-50.0,0,0,0,1
-14.810000000000004,-50.0,0,0,0,1
-14.800000000000004,-50.0,0,0,0,1
-14.790000000000004,-50.0,0,0,0,1
-14.780000000000005,-50.0,0,0,0,1
-14.770000000000005,-50.0,0,0,0,1
-14.760000000000005,-50.0,0,0,0,1
-14.750000000000005,-50.0,0,0,0,1
-14.740000000000006,-50.0,0,0,0,1
-14.730000000000006,-50.0,0,0,0,1
-14.720000000000006,-50.0,0,0,0,1
-14.710000000000006,-50.0,0,0,0,1
-14.700000000000006,-50.0,0,0,0,1
-14.690000000000007,-50.0,0,0,0,1
-14.680000000000007,-50.0,0,0,0,1
-14.670000000000007,-50.0,0,0,0,1
-14.660000000000007,-50.0,0,0,0,1
-14.650000000000007,-50.0,0,0,0,1
-14.640000000000008,-50.0,0,0,0,1
-14.630000000000008,-50.0,0,0,0,1
-14.620000000000008,-50.0,0,0,0,1
-14.610000000000008,-50.0,0,0,0,1
-14.600000000000009,-50.0,0,0,0,1
-14.590000000000009,-50.0,0,0,0,1
-14.580000000000009,-50.0,0,0,0,1
-14.57000000000001,-50.0,0,0,0,1
-14.56000000000001,-50.0,0,0,0,1
-14.55000000000001,-50.0,0,0,0,1
-14.54000000000001,-50.0,0,0,0,1
-14.53000000000001,-50.0,0,0,0,1
-14.52000000000001,-50.0,0,0,0,1
-14.51000000000001,-50.0,0,0,0,1
-14.50000000000001,-50.0,0,0,0,1
-14.49000000000001,-50.0,0,0,0,1
-14.480000000000011,-50.0,0,0,0,1
-14.470000000000011,-50.0,0,0,0,1
-14.460000000000012,-50.0,0,0,0,1
-14.450000000000012,-50.0,0,0,0,1
-14.440000000000012,-50.0,0,0,0,1
-14.430000000000012,-50.0,0,0,0,1
-14.420000000000012,-50.0,0,0,0,1
-14.410000000000013,-50.0,0,0,0,1
-14.400000000000013,-50.0,0,0,0,1
-14.390000000000013,-50.0,0,0,0,1
-14.380000000000013,-50.0,0,0,0,1
-14.370000000000013,-50.0,0,0,0,1
-14.360000000000014,-50.0,0,0,0,1
-14.350000000000014,-50.0,0,0,0,1
-14.340000000000014,-50.0,0,0,0,1
-14.330000000000014,-50.0,0,0,0,1
-14.320000000000014,-50.0,0,0,0,1
-14.310000000000015,-50.0,0,0,0,1
-14.300000000000015,-50.0,0,0,0,1
-14.290000000000015,-50.0,0,0,0,1
-14.280000000000015,-50.0,0,0,0,1
-14.270000000000016,-50.0,0,0,0,1
-14.260000000000016,-50.0,0,0,0,1
-14.250000000000016,-50.0,0,0,0,1
-14.240000000000016,-50.0,0,0,0,1
-14.230000000000016,-50.0,0,0,0,1
-14.220000000000017,-50.0,0,0,0,1
-14.210000000000017,-50.0,0,0,0,1
-14.200000000000017,-50.0,0,0,0,1
-14.190000000000017,-50.0,0,0,0,1
-14.180000000000017,-50.0,0,0,0,1
-14.170000000000018,-50.0,0,0,0,1
-14.160000000000018,-50.0,0,0,0,1
-14.150000000000018,-50.0,0,0,0,1
-14.140000000000018,-50.0,0,0,0,1
-14.130000000000019,-50.0,0,0,0,1
-14.120000000000019,-50.0,0,0,0,1
-14.110000000000019,-50.0,0,0,0,1
-14.10000000000002,-50.0,0,0,0,1
-14.09000000000002,-50.0,0,0,0,1
-14.08000000000002,-50.0,0,0,0,1
-14.07000000000002,-50.0,0,0,0,1
-14.06000000000002,-50.0,0,0,0,1
-14.05000000000002,-50.0,0,0,0,1
-14.04000000000002,-50.0,0,0,0,1
